序号	评分	帖子
1	4.60	1.工人罢工后就成为了人。
2	4.57	2.很多人说的看不到未来其实是看到了未来
3	4.54	3.通过校领导的不懈努力，终于将五一请假通过人数清零！
4	4.52	4.胃部手术时王医生找不到手术刀，无奈之下只能拿咸萝卜开胃
5	4.50	5.失主怎么一直给我的新手机打电话
6	4.50	6.根据投票结果，目前拥有票数最多的是投票箱。
7	4.47	7.长辈的唠叨就像一碗良药，能听进去的多少有点大病。
8	4.47	8.我有嘲笑任何人的资本，因为我有嘴。
9	4.43	9.揭秘小卖部黑幕：想拿东西必须给老板塞钱
10	4.43	10.老板总是需要有用的人，有没有一种可能，老板是个没用的东西？
11	4.43	11.我视金钱如粪土，可是我活得像条狗。
12	4.43	12*.虽然我们的封控政策不合理，但是希望同学们非必要不骂街。
13	4.41	13.当你发现你拨打了110，可能是你的身体在报警！
14	4.41	14.当老师五年了，攒了点钱，该去当铺把老师赎回来了。
15	4.39	15.“弱智”和“聪明”仅两字之差，意思却完全不同
16	4.39	16*.热搜上全是安倍晋三，怀疑安倍晋三是给谁挡枪了
17	4.37	17.退一万步讲，你听不见
18	4.37	18.当你开口提问，说明你脑子有问题了。
19	4.36	19.生活就像海洋，全是垃圾
20	4.35	20.出租车司机不仅出租车，而且出租车司机
21	4.33	21.经过多日走访调查，王警官发现距离凶案现场八百米处的一家兰州拉面特别正宗
22	4.33	22.你有权保持沉没，但你所说的一切都将成为咕噜咕噜。
23	4.33	23.“大清早就亡了”，医生早上把尸体推进停尸房时说道。
24	4.33	24.学校开展高考三轮复习，小明因骑自行车被排挤。
25	4.32	25.“Fuck my life。”　“说中文！”　“你所做爱的，就是你的生活。”
26	4.31	26.这是我的丈夫老于，这是我的两个儿子>、<
27	4.30	27.潜伏三年的卧底冒死送出了最后一份情报，黑社会老大更喜欢妈妈多一点。
29	4.28	29.　996怎么样才能下定决心886？　就差110。
30	4.28	30.山谷照片发到微博变成了峡谷照片。
31	4.27	31.古代的皇帝想永生，为什么不给自己颁个免死金牌？
32	4.27	32.这么无聊的会议，老板完全可以叫几个傻丨丨逼来应付一下，让我们来干什么？
33	4.27	33.为什么先有咖啡果，后有咖啡因呢？
34	4.26	34.　“觉得iPhone不值这个价格怎么办？”　“ |iPhone| ”
35	4.25	35.用打蛋器顶在乞丐肚子上转了十五分钟后他终于忍不住了，对我说道：你打发要饭的呢？
36	4.24	36.我年轻时还很青涩，现在没了青春，只剩涩了。
37	4.24	37.盲文：已通高压电请勿触摸
38	4.24	38.鸭血粉丝端上来发现仅粉丝可见。
39	4.23	39.日本首相心理素质真差，被别人喷了两下就说不出话了
40	4.22	40.路上漂的垃圾袋装着没人要的风
41	4.21	41.被问到作案动机时凶手呼吁大家多关注作品
42	4.21	42.我是成功的姥姥，因为我这人生失败
43	4.21	43.尴尬的记忆是不是密度特别小，总是容易浮起来
44	4.20	44.　计算是算盘在言语　语言在盘算是算计
45	4.19	45.能力越大，可以推卸的责任就越大。
46	4.19	46.很多人嘲笑我找不到女朋友，但其实只要我想找，我随时可以想。
47	4.19	"47.""这个b班就上到这了！""说完，老师走向了a班"
48	4.18	48*.河南银行里面是不是坐了一群赋码爷？
49	4.18	49*.虽然各地都筑起坚强防疫堡垒，但上海堡垒太烂了
50	4.17	50.谁说当代大学生没有用，点名时能一个顶俩。
51	4.17	51.《日记》　舍友说我那本描写贫困户生活的小说写得很真实
52	4.17	52.封校封的不应该是学校嘛，封我们学生干嘛？
53	4.16	53.“恐怖分子的目标是？”　“哈佛大学。”　“现在情况如何？”　“已经考上了。”
54	4.16	54.我有两个人格凭什么只给我做了一次测试就断定我有精神病？
55	4.15	55.本论文全是水。（作者注）
56	4.15	56.死亡又叫脱离生命危险。
57	4.14	57.“你不说话没人把你当哑巴。”王医生安慰着面前这位哑巴患者。
58	4.14	58.考试时如果认真审题，题目会把答案都招了吗？
59	4.14	59.“大夫，手术顺利吗？”　“哦！你就是死者家属吧？”
60	4.14	60*.小红因错过成人礼，现已成功脱离人民。
61	4.13	61.请放心，手术的是我学生，失败了我给他挂科。
62	4.13	62.经过多日走访，王警官已初步掌握警局位置
63	4.13	63.为什么我运气这么差，每次去排队进了队都发现自己在最后一个
64	4.13	64.乱扔情绪垃圾也是一种没有公德心
65	4.13	65.　Cu｛皇上｝，｛太监｝　或许这就是　皇上补集太监集
66	4.13	66.克是质量单位，秒是时间单位，我司是**单位
67	4.13	67.根据小程序投票结果，中国互联网普及率已达到100%.
68	4.13	"68.""你要主动？"" 椰稣不情愿地坐了上来。"
69	4.12	69.一阵纠缠过后，梁先生和梁太太结下了梁子。
70	4.10	70.我想变成千里眼是因为爷爷去了很远的地方
71	4.10	71.生活就像一张邋遢的床，连被子都卷起来了，我却只想着躺下
72	4.09	72.西洋棋只能慢慢下，不能太快，不然就成了象棋
73	4.09	73.女更衣室：男同志不在此。
74	4.08	74.学而不思则惘，思而不学则殆，惘殆害人啊！
75	4.07	75.本届高考出现泄题事故，教育部决定启用备用考生。
76	4.07	76.当着大家的面念了一封信，读到最后一行才发现写着勿念。
77	4.06	77.物质是本源，但为什么物质的我活得好好的，精神的我却一直很痛苦
78	4.05	78*.乌克兰总统：“鼓励演员考事业编。”
79	4.04	79.为了蹲守井盖小偷，局里安排井井有条
80	4.04	80.荆轲绕柱刺秦王，后世称之为螺旋赶君。
81	4.04	81.“当孤儿是什么感觉？”在爷爷的葬礼上，小明向他爸问道。
82	4.04	82.鲁迅在桌面刻下“早”字，从此他的书桌再也没有迟到过。
83	4.04	83.算命大师掐指一算自己还有四根手指，再掐指一算还有三根。
84	4.03	84.“别着急，小口吃。”小明对跑在前边的结巴说。
85	4.03	85.哎呀！买球买错了，买成麦当劳了
86	4.03	86.“死者死亡时间是现在。”王警官一枪击毙了罪犯
87	4.03	87.公司的隐藏福利藏得真深，我来了十年都没发现
88	4.02	88.过年投稿变少了，是不是说明是工作把人变弱智
89	4.02	89.让路边画肖像的师傅画一张我十年后的样子，师傅说他画不了，因为我已经没有未来了。
90	4.02	90.校医务室通知：如果您考研时感觉心脏不适请尽快就业
91	4.02	91.大禹看了我的论文摇摇头走了
92	4.01	92.美国警察的快速袭击让恐怖分子措手不及，甚至击毙前还不是恐怖分子。
93	4.01	93.某明星被税务局重点关注，导致其微博粉丝＋1
94	4.00	94.感觉大家和大思想家就只差思想了
95	4.00	95.拖延症都是通过后天习得的，今天就先不学了。
96	4.00	96.“能不能给我换个宿舍，我舍友个个都像罪犯！”我向狱警投诉道
97	4.00	97.考虑到醉酒易致交通事故，酒量或将成为科目二考试项目
98	4.00	98.西瓜的味道真的跟西瓜汁一模一样，简直是西瓜汁平替，我愿称之为固体西瓜汁。
99	4.00	99.所有人都只关心你飞得高不高，只有我不关心。
100	4.00	100*.菊势紧张是因为大便窜访
101	4.00	101.“食物中毒了！” 食人族将被毒蛇咬伤的病人紧急送医。
102	4.00	105.“你愿意接受我的一切吗？” 刽子手行刑前问犯人。
103	4.00	103.数学有奇数和偶数，文学有奇遇和偶遇
104	4.00	104.陈睿打游戏，我的叔叔娱乐。
105	4.00	105.女娲创造了人类，人类也创造了女娲。
106	4.00	106.科学家研究陨石的成分后，发现都是大家儿时的愿望。
107	3.99	107.为了提前得知高考成绩，小明一题没写。
108	3.99	108.　“有人质问食品安全问题。”　“那是他们现在该关心的问题吗？！”绑匪回答道。
109	3.99	109.原始人为什么要那么辛苦地钻木取火啊？有的人不是看一眼就来火吗？
110	3.97	110.　未知全貌，不予置评；　若知全貌，开始控评。
111	3.97	111.我下楼遛狗，遇到大爷遛弯，他撸了撸我的狗，我摸了摸他的弯。
112	3.96	112.人类不想下地狱，撒旦催人类下。
113	3.96	113.体弱多病的小王决定成为职业病选手
114	3.96	114.尸检结果：难吃！
115	3.95	115*.“你上大号说话。”前总统和现总统互相嘲讽道。
116	3.95	116.王某作弊被抓，在亮出准考证后，考官准许其继续作答。
117	3.95	117.我会在网上玩一些水上运动，比如：冲浪、潜水和写论文。
118	3.94	118.受就业率影响，《生化危机》系列将更名为《生化环材危机》
119	3.93	119.参考答案：(ﾉ)`ᝫ´(ヾ)
120	3.93	120.老板给了我工作，为什么还要给我工资？
121	3.92	121.“我要结婚了，新郎不是我。”新娘说。
122	3.92	122.“老天有眼！”女娲大哭。
123	3.92	123.关羽在离开曹营时承诺以后和曹操交战时给他放水
124	3.92	124.漫威宇宙叫MCU，DC宇宙叫DCU，那我的宇宙是不是叫ICU。
125	3.91	125.出现在大学考场上大多数不是大学生，是赌鬼。
127	3.91	127*.　脸怎的黄了？防冷涂的蜡！　怎的又红了？河南给的码！
128	3.90	128.在不记名投票中，患痴呆症的王老汉被票选为第一
129	3.90	129.矛盾不断升级，增加了攻击力和防御力
130	3.90	130.大家不要再用QQ了，只要登录一下你的账号密码就被腾讯知道了
131	3.90	131.根据万有引力公式，我的论文不吸引导师可能是因为它没有质量
132	3.90	132.肛拭子：便民采集点集采民便
133	3.90	133.确保能找出卧底，黑社会老大把问卷星的选项设为必填。
135	3.90	135.“没带就是没做”，老师解释自己不带套的原因
136	3.90	136.目前国际局势紧张，专家建议大家害怕的话可以少看新闻。
137	3.90	137.人体80%是水，所以喝八杯水可以用吃十杯人代替。
138	3.90	138.王警官拉起警戒线，严禁考研学子进入凶案现场争抢保研名额。
139	3.89	139.我的c语言程序设计是59分，不难推出我的c++程序设计是60分。
140	3.89	140.即使走入社会，孙悟空还是被原生家庭压抑了500年。
141	3.88	141.“这雪，已经下了一天一夜了。”　“因为它用的百度云？”
142	3.88	142.日本的禁止停车指示牌拟人：莫泊桑。
143	3.88	143.欢迎来到嬴政直播间！　下面要推荐的这些书非，常，火！　很多小伙伴都入坑了！
144	3.88	144.一枪爆头，老外挂了。
145	3.88	145.泥头车司机返回事故现场承认：我是原创
146	3.87	146　Q:巡音多少岁？　A:三十岁，因为是儿力之年。
147	3.87	147.也许我的脖子每天都很颓废，因为它觉得自己顶着的东西太愚蠢了
148	3.87	148.毕业即失业的毕业寄又到了
149	3.87	149.经过一夜的审问，王警官发现嫌疑人很符合自己的择偶标准，三观也合得来。
150	3.87	150.颜真卿，琅琊临沂人，字好看。
151	3.87	151.　12:00 留给中国男足的时间不多了......　12:01 进了！男足终于踢进一球！！！　12:00 糟糕！裁判判决进球违例！分数取消！
152	3.87	152.终于把驾照考到手，以后再也不用开车咯！
153	3.86	153.“玉帝，人间嫌小星星不够亮。”　“派大星。”
154	3.86	154.擅长安慰他人的小明在大赛中喜提安慰奖
155	3.85	155.点了一份炒面外卖，骑手却送来了一份盖浇饭，我打电话询问，他说他是假面骑士。
156	3.85	156.女王连续会见三个首相
157	3.85	157.飞盘吗？刘备拿着核桃问三弟。
158	3.85	158.草，壮羊药
159	3.84	159.“你不要吹牛”保洁指着卫生间里错误使用烘手机的男人说
160	3.84	160.知了掉进泉水淹死，也算泉下有知了。
161	3.84	161.秦惠文王问道商鞅：公善变法，可曾听闻马裂主义？
162	3.84	162.《论语》何尝不是一种密集孔句？
163	3.84	163.我只剩两分钟寿命了，但是我每次呼吸能重置这两分钟倒计时
164	3.84	164.真人秀为了证明节目没有剧本，专门请了一堆不会演戏的流量明星。
165	3.84	165.云卷云舒，人卷人累
166	3.84	166.上帝把我拖动到他的ppt里，右键点击，置于底层
167	3.83	167.喝了一整瓶海飞丝，人没了，我是真的屑
168	3.83	168.“先生，能描述一下你听到的三声枪声吗？”　“好的，qiǎng！”
169	3.83	169.“180体育生求面基。”　“你只告诉我高怎么求呀?”
170	3.83	170.怎么又要到周一了，我感觉每周都有周一。
171	3.83	171.我数学考了25分　我爸：你看你考的这个分数！　我：爸，25是整数，不是分数。
172	3.83	172.在身上纹自己名字的人就不怕自己突然改名吗？
173	3.83	173.谁说不会道歉，不是天天在抱歉没有查看权限吗？
174	3.83	174.“蟹”字的英文是Debug？
175	3.81	175.苦难是生命的防沉迷系统。
176	3.81	176.由于人生地不熟，我的人生迷路了。
177	3.81	177.0走进gay吧打招呼：hello everyone!
178	3.81	178.想成为精神内猫，专治精神内耗
179	3.80	179.她说：talk dirty to me，于是我只好给她说了一些韩国体育史。
180	3.80	180.这次演员能火，是因为灯光师给聚光灯换上了凸透镜。
181	3.80	181.“我去做核酸了。”DNA聚合酶说。
182	3.80	182.蜀道难，吴路塞，魏道还行。
183	3.80	183.弱智吧日常，字2021年，号被禁言半年。
184	3.79	184.设计师老王为了体现自己学过微积分，把楼梯都改成了滑梯。
185	3.79	185.学生自杀率居高不下因为没有课程教他们学生
186	3.79	186.海绵宝宝参加完银趴哭诉大伙无孔不入。
187	3.79	187.听说在云南那边吃了君子就会看见小人
188	3.79	188.CO₂——发自《肺腑》
189	3.77	189.可恶啊，明明大学四年玩得那么开心，为什么还是找不到工作?
190	3.77	190.轻生是因为相信人会有重生。
191	3.77	191.扇贝属于贝类，绝非扇类。
192	3.77	192.给车安装了智能避障系统，现在我的车见了我就跑。
193	3.76	193.您与全世界其他人都不是朋友关系，请注意隐私安全。
195	3.76	195.小明出柜宣言：哥本哈根。
196	3.76	196.“再来一条！”导演对坐在马桶上的演员说。
197	3.76	197.刚入宫大清就完了，白切鸡。
198	3.76	198.食人族出师表：侍中、侍郎郭攸之、费祎、董允等，此皆粮食。
199	3.76	199.不熬夜加班以后怎么吃更贵的药.
200	3.76	200.色即是空，空即是色。——摘自《浏览记录》
201	3.76	201.为什么西游记不请唐僧本人来演呢，他不是长生不老吗？
203	3.76	203.“等我CD好了，我屠死你们。”周杰伦对榜单说。
204	3.76	204.为防止考生作弊,监考老师直到考试结束都没有下发试卷
206	3.75	206.你们发现没，当你意识到你在呼吸时，就从自动挡变成了手动挡。
207	3.75	207.“寻寻觅觅冷冷清清凄凄惨惨戚戚”，李清照这牌，能胡七对。
208	3.75	208.街头惨遭车祸 遇害者被反复碾压目击者称是同人二创。
209	3.75	209.过年福字要倒着贴，为什么不生产倒过来的福字呢？
210	3.75	210.《聊斋》一看就是蒲姓男写的。
211	3.74	211.考研猝死追封硕士吗？
212	3.73	212.　由于高考分数很不理想，小明决定：　由于高考分数很不理想，小明决定：
213	3.73	213.我司举办的第一届举报大赛因被举报而无法按期举办。
214	3.73	214.断人财路如杀人父母，没收孩子压岁钱的家长被王警官判定为自杀。
215	3.73	215.上天堂，有主见。
216	3.73	216.网友互飙脏话，飙到没词了，飙点符号。
217	3.73	217*.日本首相演讲效果太差导致群众不得已发送弹幕护体
218	3.73	218.中国主机游戏率先进入次世代！拿到版号的几乎都是次品！
219	3.73	219.五一假期的五一意思是不是假装放五天实际放一天啊。
220	3.73	220.马上毕业了却没学到任何东西，我还真是个傻毕呢！
221	3.72	221.最近身体越来越差了，晚上在床上躺着躺着突然就失去了意识。
222	3.72	222.人生和番茄一样，都是二字词语。
224	3.72	224.耶稣是有固定工作的。
225	3.72	225.996的人大喊995。
226	3.72	226.路易十六答应了革命派的条件，但是没纸笔，只好先做出口头承诺。
227	3.72	227.“报告老板，我们按照你的要求找到了一个得力的员工。”　“我就知道我们晨光有内鬼！”
228	3.72	228.有的函数为了求极限连下限都不要了。
229	3.72	229.猫从极高处摔了下来，笑曰：“命不9矣。”
230	3.71	230.你忘记一个梦，是大脑撤回了一条消息。
231	3.71	231.我怀疑自己生活在一个缸里，不然怎么会处处碰壁。
232	3.70	232.三个火是焱，三个水是淼，三个死是品。
233	3.70	233.“你好像来到了我身边该怎么简洁地表达？”　“你若至？”
234	3.70	234.上了大学的我讲究点到即止，老师点名，我喊“到”后，这节课对我来说就到此为止了。
235	3.70	235.豪言壮语也是种状语后置。
236	3.70	236.抓小龙虾的人怎么知道哪一只是蒜蓉的哪一只是麻辣的?
237	3.70	237.我在发呆，请大家有序排队领取。
238	3.70	238.语言暴力：( '-' )ノ)`-' )
239	3.70	239.“人是死的，树是活的。”顺治评价崇祯。
240	3.69	240.人生就像塑料袋，装了一辈子，最后不是被烧就是被埋。
241	3.69	241.刚出生的耶稣被众人叫作天献宝宝。
242	3.68	242.小明揭开了公司的黑幕，导致吸血鬼老板被晒死。
244	3.67	244.现在的初中生连他高中老师叫什么都不知道。
245	3.67	245.小品里的家庭都有这儿那儿的矛盾，为什么不请一些没矛盾的来演？
246	3.67	246.刻意突兀的转折并不好笑，同理，玩也是王字旁。
247	3.67	247.招聘体育老师，要求：体弱多病，无上课嗜好。
248	3.67	248.　错选土木，生活水深火热，命里缺金。　混账东西，一生走南闯北，啥都不中。
249	3.66	249.我方律师要求证人证明哥德巴赫猜想。
250	3.66	250.本科生都烂大街了！由此可得本科生具有腐蚀性。
251	3.66	251.小明为了出道成为虚拟主播苦练虚拟语气。
252	3.66	252.男人过了两百岁，就不要穿活人的衣服了。
253	3.66	253.你喜欢吃火龙果？好巧！我的表也八点了！
254	3.66	254.毕业生太多导致就业困难，新生儿太少导致人口下降，那么让毕业生去当新生儿不就可以解决问题吗？
255	3.66	255.入狱三年，我好像陷入了囚徒困境。
256	3.65	256.现在好莱坞电影又要有LGBT，又要有少数族裔，太麻烦了，干脆直接定个指标，叫基尼系数。
257	3.65	257.以下内容可能会引起（bushi）
258	3.65	258.讨厌新冠时期的爱情，这种不解封情。
259	3.65	259.对6点闹钟的心里话：“你要这么响，那我也没办法。”
260	3.65	260.宝莲灯，又称：二舅治好了我的精神内耗。
261	3.65	261.“这是我推。”屎壳郎指着粪球骄傲地和大家介绍道。
262	3.64	262.史书上怎么老是记载皇帝把人踢死了？
263	3.64	263.成为植物人的我已经和你们有一层可悲的厚细胞壁了。
264	3.64	264.“这家店很实惠，三个人才两百多”——食人族探店评论
265	3.64	265.为成为千古一帝，嬴政改名为A秦始皇。
266	3.64	266.上天堂后不见上帝，问天使：“主不在乎？”
267	3.64	267.贞子从老王的电视里缓慢地爬出，老王惊恐地大喊道：“我新买的电视怎么掉贞了！”
