序号	评分	帖子
1	4.70	1.我市惊现无名男尸，王警官立刻发布悬赏帮他起个名字。
2	4.68	2.狐假虎威就是爽，我提着领导的头出门，大家看到都吓跑了。
3	4.64	3.经过法医现场判断，死者是他杀的，警方于是迅速控制了法医。
4	4.42	4.同样的一个杯子，乐观主义者能看到里面还有半杯水，而盲人却看不到。
5	4.41	5.死刑犯没有吃最后一顿饭，因为他坚信少吃一顿不会死。
6	4.33	6.本店使用高温灭菌工艺，服务员向点了蘑菇汤的顾客解释端上来的白开水。
7	4.33	7.谈判专家喊话询问被歹徒绑架的人质数是多少，不久后听到回应:“2，3，5，7，11...”
8	4.32	8.专家研究发现，高质量的睡眠可以大幅提升车祸的概率。
9	4.31	9.正方辩题：白色不可以作为字体的颜色。　反方辩题：
10	4.30	10.变形金刚寂寞了会上网约车吗？
11	4.28	11.判断男人性取向很简单，从肛门的大小来看无非是大同小异。
12	4.27	12.“你日后要是惹出祸来，师父的名字就不要提了。”菩祖师对孙悟空说。
13	4.25	13.现在的学历歧视太严重了，我说我对象在上小学一堆人骂我。
15	4.24	15.周朝比夏朝晚了五百年是因为有中间商。
16	4.23	16.刘备被称赞爱民如子，将围观群众挨个摔倒在地。
17	4.21	17.地球上有70%的海洋和30%的陆地，那么剩下的30%海洋和70%的陆地去哪了？
18	4.20	18.包子店老板问：要荤的吗？　想吃肉包子的我：素的。
19	4.16	19.小时不识月，呼作地卫一。
20	4.15	20.古代人因为没有处理伤口感染的意识，被砍头的人很快就死了。
21	4.15	21.教各位出租车司机一个100%预测乘客目的地的方法：看到招手的一脚油门撞过去，他的目的地是医院。
22	4.14	22.从青龙山医院出来的那天，我听到路人嘟囔了一句：又进来一个。
23	4.14	23.即使现场破乱不堪，名侦探仅凭回忆就还原了整个行凶过程。
25	4.13	25.老臣年迈，无法跪谢皇恩，只好新臣代谢。
26	4.11	26.舍友一周不洗澡，身上都臭了，是不是他还在生我上周砍了他一刀的气？
27	4.11	27.登陆就送一百抽!美国南部海岸的码头工对运奴船喊道。
28	4.11	28.房门隔音效果好差每次有人在外面敲门我都能听到。
29	4.10	29.女神劈头盖脸地骂道：“你就是只舔狗、弱鸡、癞蛤蟆、跟屁虫……”那一刻我大脑一片空白，只感觉冷冷的宾语在脸上胡乱地拍。
30	4.09	30.孩子还在长身体，棺材要买大一点。
31	4.08	31.我和同桌都考了300分，和起来就是700。但是清华却错过了以一个700分录取两个人的超值机会。
32	4.08	32.间谍潜入美国总统办公室在桌板下面抹鼻屎。
33	4.08	33.浪漫的小明把求婚地点选在了两个人第一次的抛尸现场。
34	4.08	34.小明吃饭忘记拿筷子，没用的东西。
35	4.08	35.交了一个漂亮地雷系女友，她给了我一个十万伏特之后告诉我应该用“的”。
36	4.08	36.丈夫自称龙的传人，不料妻子竟生下个黑宝宝。做完亲子鉴定虚惊一场，原来是个乌龙。
37	4.08	37.既然快递要3天才到，为什么不把所有的快递都提前3天发。
38	4.07	38.“弱智吧有哪些著名的景观？”　“王警官。”
39	4.07	39.小明做选择题时被题目整笑了，故选:D
40	4.07	40.皇帝感叹道：“孤的胜，你们都看在眼里；孤的败。”然后就退朝了。
41	4.06	41.孩子年纪轻轻就得了甲沟炎，走得很痛苦。
42	4.06	42.生活小妙招：在野外迷路如何使用手表辨别方向。手握手表，松手使其自然落体，手表坠落的方向就是下方。
43	4.06	43.镇关西挨了三拳后心领神会，晚上三更准时来到鲁提辖的房间。
44	4.05	44.医生说:“吃点好的。”于是我把我在工作群的回复都吃了。
45	4.00	45.“你是清朝来的吧?”人们纷纷赞叹朱元璋思想先进。
46	4.00	46.我们购买美国产品花的钱，会被做成美国子弹，用来枪击美国人。
47	4.00	47.“我的法力不比如来佛差，你是怎么逃出我的手掌心的?”耶稣不解地问孙悟空。
48	4.00	48.王警官在现场勘察了4个小时，终于发现了案件还没有发生。
49	4.00	49.悬疑短文比赛上，王老汉竟靠这个方法获得了冠军。
50	3.97	50.毕业一年，经过我的不懈努力，如今的积蓄已经足够自己下半辈子不吃不喝了。
51	3.97	51.冷知识：冒号前面的才是冷知识。
52	3.96	52.王老汉找人拼命，现在两人共用一条命。
53	3.96	53.经历巨大痛苦之后，王老汉终于明白了点烟器和飞机杯的区别。
54	3.96	"54.""我怀疑那些新闻记者都是机器人，不然为啥自称“本台记者”。"
55	3.96	55.“还有8个学生没起床？”　“老师，是9个，你少瞧不起人了。”
56	3.96	56.喝过氧化氢的注意了，过氧化氢不能喝。
57	3.96	57.就算我杀了人，警察不敲门就闯进来也太不礼貌了吧
58	3.96	58.大英博物馆发生严重盗窃案，负责人发文哭诉同行内卷。
59	3.95	59.我向佛祖许愿，佛说:समझ नहीं सकता
60	3.94	60.谷爱凌梦见家里失火吓得赶紧打119，还好梦是反的，她要打的是911
61	3.93	61.“打仗打的就是后勤”说罢王将军令人将厨师塞进炮筒。
62	3.93	62.你每次一笑，都能牵动我的神经。 医生，给我做手术的时候能不看弱智吧精选吗？
63	3.92	63.公交车太可怕了，每次我看它停靠在路边，路边就会有人消失。
64	3.92	64.我觉得上有老下有小是在形容我的外貌。
65	3.92	65.“大小眼用英语怎么说？”　“Eye”
66	3.92	66.为什么电话打久了手会酸？因为电话pHone。
67	3.91	67.nnd，早知道最后被第三志愿录取，第三志愿就应该填清华的。
68	3.91	68.压死骆驼的最后一根稻草也是压死骆驼的第一根稻草。
69	3.89	69.医生兴高采烈地向家属宣布，病人不心动挑战成功。
70	3.89	70.排队的时候发现自己被陌生人尾随了该怎么报警？
72	3.89	72.口和吕，其实是残次品。
73	3.89	73.送外卖。开门取餐的阿宅很没礼貌，是个凶宅。
74	3.89	74.协和医院治不好的患者都转到火葬场了，是不是说火葬场是协和医院的上级医院?
75	3.89	75.怕影响孩子高考，至今不敢告诉他十八年前已经被我打掉了。
76	3.88	76*.我本以为饭里疑似出现鼠头是今年最恶心的了，没想到今天又听说粥里疑似出现孙笑川。
77	3.88	77.王老汉钻被窝时不顾老婆反对使用电钻。
78	3.88	78.双重否定表示肯定，我在夸你呢，沙贝丑八怪。
79	3.88	79.自从有土木工程学生紫砂后，学校工地频频出现鬼打墙。
80	3.87	80.评论区留下身份证号后两位，一样的在一起。
81	3.87	81.喂，医生问你话呢！得啥病啦？
82	3.86	82.祖冲之故居又叫π出所。
83	3.86	83.小明大骂人力是SB，却被领导纠正为HR
84	3.85	84.母亲去世后我养成了翘兰花指的习惯，这样别人就会骂我有点娘。
85	3.85	85.在关于面前两位副主任该先给谁倒茶的问题上尿分叉的老王并没有退缩。
87	3.85	87.《出师表》第一句就提到了先帝，为什么刘禅不重用先帝？
88	3.84	88.为什么单位学校这些都有保卫处，没有进攻处？
89	3.84	89.当一个国企员工离职决定叛逆一把去纹身，　“请给我纹一个大大的死字！”　“您要什么字体？”　“仿宋_GB2312”
90	3.83	90*.诸葛亮还是太保守了，如果诸葛亮当初放的是气球，就能借到10万枚导弹了。
91	3.82	91.我破解了张恒地动仪的原理！把八部手机分别固定在罗盘的八个方位，哪个方位的手机跳转淘宝了，就说明哪有震感。
92	3.82	92.把昆虫放进水里，水就变混浊了。
93	3.82	93.看来路易十六不是被冤枉的，因为冤有头。
94	3.81	94.我是住在A栋的，很少见这B栋静。
95	3.81	95.自从来华莱士工作后，这些顾客在我面前屁都不敢放一个。
96	3.81	96.观众席那么多人穿10号，怎么认出哪个是梅西？
97	3.81	97.“我要创文明城市！”说完恐怖分子开飞机创纽约去了。
98	3.81	98.很少有人写自传会提到自己的死因，是不是人都比较忌讳这个呀？
99	3.81	99.王老师：“我先考考你。”于是找来了死去的父亲出题。
100	3.81	100.王护士被蚊子咬了，之后每次都能准确找到患者的血管。
101	3.81	101.威利斯·开利：“早知道就不发明空调了，让你们没空调修。”
102	3.81	102.路易十六倒台后，他本人便陆陆续续地离开了历史的舞台。
103	3.80	103.“你笑个P啊！”　“:P”
104	3.80	104.西北人真热情呀，虽然我说他们有点鼻音，但是他们还是说我有求必应。
105	3.80	105.工作日一般不开演唱会，因为要放假唱。
106	3.79	106.通过两位坠楼死者的死亡推断时间，王警官验证了自由落体定律。
107	3.79	107.公司年会上表演千手观音的演员有俩去加班了，于是节目改名为996观音。
108	3.79	108.石头剪刀布不是公平的游戏，因为先手和后手的胜率差距太大了。
109	3.79	109.重阳节建议给60岁以上的老人放半天假。
110	3.79	110.机智的诸葛亮将稻草人涂黑，成功从美国警察处借来十万颗子弹。
111	3.79	111.　911前：请纽约市民注意市容市貌；　911后：请纽约市民注意市容。
113	3.78	113.梦到我搬家了，还好梦和现实是相反的，我加班了。
116	3.78	116.王警官看到尸体上插着蜡烛才想起今天是自己生日。
117	3.78	117.“大雄宝殿！”来自陕西的哆啦A梦阻止大雄点击诈骗链接。
118	3.78	118.怕上火，住下水道。
119	3.77	119.古人有那么多封号，是不是说明古人很爱开挂？
120	3.77	120.梅西的阿根廷球衣都售罄了，那决赛那天梅西穿什么？
121	3.77	121.双十一将至，父亲拿走拓海车上那杯水，换成一部智能手机。
122	3.77	122.拖延症学生大叁制作视频，大肆渲染。
123	3.77	123.重大发现！碗可以装饭原来是运用了纳米技术。
124	3.77	124.老太太连发五十条六十秒语音成功气死电诈人员
125	3.77	125.闰土说：“水生病了。”鲁迅听完连忙请来大禹治水。
126	3.76	126.白话：谈钱伤感情；　文言：既要交，岂言钱？
127	3.76	127.“苏轼，你又被贬了，怎么办？”　“我在想辙。”
128	3.76	128.美方严正声明：韩非子。
129	3.75	129.杨过只剩一只手都这么厉害，两只手都没了还得了？
130	3.75	130.游戏里生命可以有几十条，但是现实中生命只有一条，所以我们要珍惜游戏。
131	3.74	131.“当时觉得挺有趣的，就把他拍了下来。”小明解释小王为何坠楼。
132	3.74	132.禁止本院医生在手术中未经允许擅自在患者体内添加葱花。
133	3.74	133.全班第一名每次都是我们班的人，感觉有什么黑幕
134	3.73	"134.""欢装好人的王老汉被警察发现家里冰柜装满了好人。"
135	3.73	135.面对歹徒开枪射击，王警官严厉批评其射击姿势不够标准。
136	3.73	136.中子问质子为什么还不出发，质子说他在等离子烫头。
137	3.73	137.买了一本《张小龙传》翻开一看全是空白，只在第一页写着文件已过期或被清理。
139	3.72	139.为什么你这个双人份套餐里的薯条是奇数根?
