序号	评分	帖子
1	4.31	1.“太好了还有气！”王警官看着尸体手里的可乐高兴道。
2	4.28	2.地上最有营养的动物是大象，一头大象的蛋白质含量是一只鸡的2000倍。
3	4.27	3.所有人都只在乎我飞得高不高，没有人在乎那个肇事司机开得***有多快。
4	4.26	4.海洋垃圾污染触目惊心，昨天在市场买的海鲜，每一个外面都套着塑料袋。
5	4.25	5.“考试时遇到不会的题直接跳，不要浪费太多时间。”正在考数学的小明一跃而下。
6	4.24	6.理发店是不是有辐射呀？我每次去都掉一堆头发。
7	4.23	7.小明在饭里吃出了屎，把店家举报到了315消费者权益日。店家说你都吃屎了，已经是分解者了不是消费者，举报无效。
8	4.22	8.饭堂阿姨生病了，午饭改上数学课。
9	4.22	9.没注意小孩钻洗衣机里直接启动了怎么办他口袋里还有纸巾？
10	4.21	10.总觉老公眼睛一直在那女人身上，打开那人口袋果然发现了老公的眼睛。
11	4.21	11.货拉拉司机辞职信：讨厌装货。
12	4.20	12.人还是会害怕比自己位置高的人，上次我在楼顶把辅导员和校长吓的。
13	4.20	13.不小心喝了大量的醋没关系，吞几根鱼刺进去就好了。
14	4.19	14.警方公布碎尸案最新进展：已被翻拍成同名电影。
15	4.18	15.王警官在碎尸杀人狂家里搜出十袋少年团。
16	4.18	16.我长这么大头一次听说可能是三鹿奶粉导致的。
17	4.18	17.老王选择一名阿尔茨海默病患者的房屋进行盗窃，进屋后发现是自己家。
18	4.18	18.王警官反复推敲，终于发现门是拉的。
19	4.17	19.特朗普吐痰：了。
20	4.17	20.“妈，我手机没电了。”　“玩手机玩的。”
21	4.16	21.“不要拿你的爱好挑战别人的饭碗”，医生努力阻止患者把碗塞进屁股。
22	4.16	22.生育率下降幼儿园减少，但大学生却遍地都是。幼儿园文凭含金量或超过本科。
23	4.16	23.“明天公司团建，你不来可说不过去了！”　“不过去了。”
24	4.15	24.都说狗鼻子很灵，为什么没有供奉狗鼻子的庙？
25	4.15	25.正月诛九族死舅舅。
26	4.15	26.“我的清白没了！”溥仪看到袁世凯复辟不禁感叹。
27	4.15	27.王警官得知蛋糕有毒后惊叹凶手的作案设计是用了点心的。
28	4.14	28.有一道光穿过了屋子，屋里的人见状大惊。“爸，你怎么来了?”　咸丰问道。评分：4.14
29	4.14	29.某酒店被爆厕所卫生不达标，许多人纷纷后悔在该酒店厕所吃屎。
30	4.14	30.警局第二天才发现尸体，因为王警官认为警局第一天才是自己。
31	4.13	31.俗话说一孕傻三年，我们只要让特朗普怀孕就能极大削弱美国实力。
32	4.13	32.考古队仔细拼接墓中骸骨，发现了大量人头马和马头人。
33	4.13	33.朱自清入关后，就不再是国姓了。
34	4.13	34.为什么在每次跳水比赛，运动员都会用很慢的速度跳第二遍？
35	4.12	35.两个细菌之间的位置，就是最常见的无菌环境。
36	4.12	36.神说：要有空气。但是大家都听不到。
37	4.12	37.我根本没搜过，为什么搜索记录里有个“得了失忆症怎么办？”
38	4.12	38.我小时候塑料鞋底过敏，后来和我爸分开住就好了。
39	4.12	39.身份证下面的神秘数字里居然藏着我的生日，官方真是用心了。
40	4.12	40.康师傅表示，如果公司有一个员工跳楼公司名就反过来写。
41	4.11	41.我向老师求婚，结果老师要见我家长，我是不是成功了。
42	4.11	42.医生开方之后，王老汉从2型糖尿病变成了√2型糖尿病。
43	4.11	43.烟头和烟屁股是一个东西，所以烟可能是腔肠动物。
44	4.11	44.小明看完表演后没有付钱，白高兴了一场。
45	4.11	45.一个人在风光无限的时候反而要特别注意，这种情况下非常适合发展风力发电和光伏发电！
46	4.11	46.资本主义的腐朽就在于宁愿把卖不出去的黑人倒进海里都不愿意送出去。
47	4.11	47.男子冲进灵堂大喊:“我不同意这门丧事。”并抢走了尸体。
48	4.10	48.最大的敌人是自己，太好了，我从来没见过这么弱的对手。
49	4.10	49.独家报道海难幸存者自述：咕噜咕噜你先咕噜咕噜把我咕噜捞上咕噜……
50	4.10	50.宋江对皇帝说：你不打算招安全员吗？
51	4.09	51.金箍棒离开悟空，大小便不能自理。
52	4.09	52.孟德尔经过不断观察，觉得豌豆还是应该种在向日葵后面。
53	4.09	53.高考考场出现无头尸体，众人纷纷感叹这么大的考试也会忘记带考试工具入场。
54	4.08	54.小明爷爷生病了，难受得一直叫唤，小明问：爸爸的爸爸叫什么？
55	4.08	55.冷知识，一天吃一个医生比一天吃一个苹果更能让医生远离你。
56	4.07	56.在与凶手的追逐中，王警官不甘示弱，最终将凶手远远甩在身后。
57	4.07	57.“你根本就没把他放在眼里！”医生批评错误使用痔疮膏的患者。
58	4.07	58.《斗罗大陆》推出繁中版《斗羅港澳臺》。
59	4.07	59.俄罗斯雪人去中国化了。
60	4.06	60.食人族说“打包”，随后提心吊胆地走了。
61	4.06	61.感觉飞机好危险，在所有交通工具里，飞机发生空难的概率是最高的。
62	4.06	62.直到小孩上了清华我才知道原来我家小孩是别人家的孩子。
63	4.06	63.未成年人不能喝酒，为什么代驾公司不雇未成年人开车呢？
64	4.05	64.“消防的问题都可以来问我！”消防通道。
65	4.05	65.车上有人是不能开违停罚单的 交警看着后备箱的尸体失望地走开。
66	4.05	66.墓地滞销，老板：人都死哪去了？
67	4.05	67.塞翁是马，不信你看马在十二生肖里排第几。
68	4.05	68.小小年纪不学好居然在身体打洞？！亚裔家长在美国校园枪击案现场骂孩子。
69	4.05	69.男性的盆骨比女性的窄，是不是说明男性比女性更容易难产？
70	4.04	70.也不知为什么，最近几年一直感觉自己年龄越来越大了。
71	4.04	71.我爹虽然生了我，但并不代表他是我妈。
72	4.03	72.王警官追了犯人两天后发现自己上班没打卡。
73	4.03	73.我发现了几乎所有比赛的黑幕，总决赛他们总是让亚军去打冠军，这样肯定要输呀。
74	4.02	74.针对我方派出的谈判大师对方派出了一名聋子。
75	4.02	75.上帝说:“ ”　后来人们才明白，那次他说的是要有文字。
76	4.02	76.小明刚入职就感叹道:“男同事真多”，已经有五个男同来和他攀谈了。
77	4.02	77.　求下联：美术老师登上历史舞台发表政治演讲造成大量生物发生物理死亡。　神回复：上海校长签下重庆协定背刺湖南英雄落得小别四川煎熬台湾余生。
78	4.01	78.地府爷爷收到孙子烧来纸钱后惨遭未成年人退款。
79	4.01	79.周瑜看见诸葛亮准备的草船后恍然大悟：“你是来拉矢的吧！”
80	4.00	80.朱熹的母亲荣获生理学家称号。
81	4.00	81.当我们迷失方向时可以随机打死一个人，看他驾鹤西去的方向就知道哪边是西边了。
82	4.00	82.当你发现每当自己一拧把，你的朋友就会离开，注意你的朋友可能是电动车。
83	4.00	83.机场这种平平无奇的地方，却最容易出现转机。
84	4.00	84.我发现有些人是真的很怕晒黑，下雨天根本就没有太阳还要打伞。
85	3.99	85.倡导居家办公，杀手只好在家给目标P遗照。
86	3.99	86.“听说你摔倒的姿势和别人不一样，能摔给我看看吗？”　我:ok
87	3.98	87.野外迷路了怎么办？观察身边，哪里出现东北虎，哪里就是东北。
88	3.98	88.我永远叫不醒一个装睡的人，但王警官说户口本写不下那么长。
89	3.98	89.第一次看见柠檬不知道这是什么水果，上海的朋友贴心地和我说是香雾柠，他真好。
90	3.98	90.好人有好报，我是庸人，可以给我一个庸报吗？
91	3.98	91.成步堂一拍桌子把法庭跳转到淘宝。
92	3.98	92.小明死后发现自己生死簿上的寿命还有30年，阎王解释说这是公摊寿命。
93	3.98	93.咱俩还没谈恋爱呢你就已经这么好了，要是确立关系了，你不得好死。
94	3.97	94.真的有人喜欢被诛九族吗，一想到要见那么多不熟的亲戚我就觉得好尴尬。
95	3.97	95.过安检总是让我喝一口，万一里面有毒呢？
96	3.97	96.王警官展示自己的新发现后，同事吐槽他不仅发型难看，字也打错了。
97	3.97	97.“我是个水硕。”听起来就很弱好欺负，但是改成“I am a Water Master.”对方就会开始害怕你掌控的水系魔法。
98	3.96	98.佛教认为，一切行为都是为了制造业。
99	3.96	99.其实胎儿的性别是由父母的性别决定的：如果爸爸是男的，那么胎儿就有50%的概率是男的，如果妈妈是女的，那么胎儿就有50%的概率是女的。
100	3.96	100.食人族厨师发现徒弟把食材一锅煮了，大怒道：“好人坏人都让你做了。”
101	3.96	101.入殓师：干我们这行最忌讳爱上客人。
