序号	评分	帖子
1		1 祖坟冒烟被环保局查封
2		2 多多被歹徒残忍地分尸杀害了，他的爸爸妈妈号召了朋友圈一起来拼多多
3		3 刽子手手起刀落，犯人掉头就跑
4		4 前几天去医院体检了，好开心，只花了200块钱就检查出六个病来
5		5 修不起路的村民纷纷自寻死路解决了交通问题
6		6 长寿村村长讲授养生秘诀：谎报年龄
7		7 “你在干什么鬼”黑白无常拉开阎王的床帐问道
8		8 华佗给关羽刮完骨头发现没中奖又偷偷刮了一根
9		9 放学后我招呼小伙伴集体玩跳房子结果7死12伤
10		10 气象局发布黄色预警被扫黄大队依法查封
11		11 我证明了屎是弱酸性的，因为拿ph试纸擦屁股纸会变黄
12		12 我觉得白雪公主之所以命运坎坷主要原因是因为身边的小人太多
13		13 可恶的敌人把我军辛苦布置的地雷全部踩爆了。
14		14 警方在一家雇用童工的火力发电厂里查出大批火力少年王
15		15 我挠破头也想不明白为什么我想不明白要挠破头
16		16 师傅你能不能不要对电风扇喊“不转不是中国人”了，我试过了修不好
17		17 楼下的算命先生名不虚传，他居然算出我只有一条命
19		19 父亲怒斥我不争气，连打起来的手感都不如别人家孩子
20		20 孙悟空用武力逼迫无能的阎王政府签订不平等生死簿史称鬼门关事变
21		21 “余生多指教！”无期徒刑罪犯刘某向狱警王教官说道。
22		22 谁能想到，看起来年纪轻轻，只有二十多岁的我，已经是两个人的儿子
23		23 别以为你穿着衣服就能掩盖你没穿衣服的事实
24		24 去医院做检查，医生拿着化验单说，亏你来的及时，再晚点停尸房可就没位置了。
25		25 當我們擦肩而過的時候你绝不会想到其貌不揚的我竟然是豪华黄钻
26		26 苏炳添拿了块100米的短跑金牌，我就没见过那么长的金牌
27		27 缴械不死，于是匪徒就这样获得了永生
28		28 过期了的杀虫剂是更毒了还是不毒了
29		29 抗日奇侠怒撕日本地图，日本当场灭国
30		30 辩论大会上唇枪舌战，王老汉还来不及反应，就被正方选手舌吻到高潮
31		31 经过反复的调解和协商 恐怖分子同意只炸大楼的下面十层
32		32 法官最终将被告人的老婆判给了自己。
33		33 鹅害鹅州的鹅为什么要害鹅？
34		34 外星人：你们地球人里除了那个叫马云的其他人长得真T匚M匚D寒掺
35		35 江洋大盗王老汉从来不敢偷茶叶店，因为听说茶叶店有聋警察
36		36 毕业那一年，为了操到那一个人，我哭着操遍了全班。
37		37 这表号称电池比人的寿命还长果然第二天我就死了
38		38 爱国尸体拒绝乘坐日产灵车
39		39 在本店吃死的顾客凭小票隔壁棺材铺九五折。
40		40 每到清明节我都会遇到一些有趣的灵魂
41		41 我好心好意骗你，你居然不相信
42		42 得道高僧王老汉在新浪总部做法，某明星一夜流失数十万僵尸粉。
43		43 功德箱里的钱莫名减少，方丈称是佛祖抽成百分之五十
44		44 高考期间，王老汉给儿子当枪手，没想到当场击毙十几个监考老师
45		45 道士大怒，网上真匚人匚发匚牌并不是真人
46		46 天子犯法，当与庶民同乐。
47		47 博尔特这个窝囊废跑100米十秒都坚持不了。
48		48 火云邪神苦练多年，终于将蛤蟆功练至顶级并成功产下8个小蝌蚪
49		49 不想再单身下去的我去庙里求菩萨。菩萨拒绝了我的求婚。
50		50 王老汉残忍的把老年大学班主任活埋了，只因班主任要见他家长。
51		51 请犯人选择心动法官
52		52 国足队员俄罗斯勇夺世界杯被警方扣押。
53		53 程序员专业考试第一题：请考生在三十分钟内完成猝死。
55		55 阴间新闻：孟婆汤效果太好至今没有顾客付钱
56		56 小明因为家暴被告上法庭，当庭被判为国家散打队一级选手
57		57 这位同学眼保健操对屁眼是无效的请不要脱下裤子。
58		58 王老汉路边捡到一沓冥币，路边坐等撞死后享福
59		59 怎样说服领导在文件上签字？再过俩小时就要把生死簿归还阎王了
60		60 暗恋一个女孩很久了今天情人节想鼓起勇气砍死她
61		61 朋友说他会讲段子，我一拳就重重落在他裆部，我才是真正的断子手。
62		62 “一起死吧！”残忍的恐怖分子拉住特警队员当场拜把子
64		64 洋奴看到有人出洋相立刻下跪认爹
66		66 我院王老汉被查出无证行医，被治好的病人将在明天午时处决。
67		67 皇上因怀疑太子密谋篡位而将其满门抄斩
68		68 每次中五百万我都是花完再醒的。
69		69 在老师和父母压迫下，不爱写作的小明终于养成了每天写遗书的习惯
70		70 乌鸦为了喝到水往瓶子里放了两斤钠块
71		71 “你一个有障碍的人，敢坐无障碍电梯？”保安一脚踢翻了他的轮椅
72		72 主持人往嘉宾头上浇汽油 称接下来要进行一个烧脑游戏
73		73 班主任因脾气太差被同学们送去了变形计。
74		74 “病人的腿保住了！”疲惫的医生如释重负地说道。家属看着被推出来的那一条腿，都激动的说不出话。
