序号	评分	帖子
1	4.53	1.几个大象各自摸盲人的身体，一致认为盲人像一张纸。
2	4.39	2.为不让屁声太大引发尴尬，王老汉只好不情愿地将唢呐从屁股里取出。
3	4.38	3.王老汉自学酿酒技术十年，终于酿成一起重大食品安全事故。
4	4.38	4.看着眼前泛黄的旧照片好后悔自己尿在了上面。
5	4.37	5.学校出现电锯杀人狂校方反应迅速组织人员前来没收其大功率电器
6	4.36	6.灰姑娘逃跑不小心掉了一个断头台，全国人都死了。
7	4.32	7.墙上贴着很多奇怪的规定，每一个奇怪的规定后都有着双面胶。
8	4.29	8.如何只移动一根火柴，把粮仓的账变成对的？
9	4.29	9.导师让我帮他端杯水，我忙着搞学术不端
10	4.29	10.厉=100
11	4.26	11.监狱的防守这么严密，犯人都是怎么进去的?
12	4.24	12.朋友生日不让我去，看来是怕我动了某些人的蛋糕
13	4.24	13.你们和我说瞎子是看不见的，但是我能看见瞎子
14	4.23	14.斐迪庇第斯学了新闻学，从战场一口气跑了40多公里回到雅典大喊一声“确认了！就在刚刚！”然后就死了
15	4.19	15.春节期间美利坚街头枪击案嫌疑人使用消音器被批评没有年味
16	4.17	16.胎儿在三个月时才长出指纹，那两个月的胎儿犯罪岂不很难抓到？
17	4.17	17*.把加沙遇难者的名字纹到身上抗议后，小明被误认为黑人当场击毙
18	4.16	18.思想肮脏的人，哪怕你在公众场合随地大小便别人也会觉得你恶心。
19	4.13	19.我进不去学术的大门，发现原来不是我拉，是靠内推的
20	4.13	20.新闻里的记者可能都是一台机器假扮的，不然他们为什么自称“本台记者”。
21	4.11	21.牛顿拉了二十多年屎没发现万有引力，说明很可能他用了肛塞。
22	4.10	22.“我今年实岁26，虚岁28”，王警官说着在蛋糕上点了(26+28i)根蜡烛。
23	4.10	23.一栋大楼会死两次：第一次是被飞机撞塌，第二次是再没有人拿它编段子。
24	4.07	24.人脉真的很重要我刚就是不小心切到你儿子大动脉才导致手术失败的
25	4.05	25.一进东北烧烤，店员就问我，先声夺人。
26	4.03	26.为安抚民心经讨论拜登决定给救灾现场直播加上罐头笑声
27	4.03	27.射击比赛成绩出炉:　殿军小李:9.6环　季军小张:9.8环　亚军小刘:10环　冠军小王:7人
28	4.03	28.领导大小便失禁了，保大还是保小？
29	4.03	29.应该等到肯尼迪吮吸安倍乳头的时候再开枪，这样就至少省下一颗子弹了。
31	4.00	31.杀手勒死全部同事后，发现要领的是全勤奖。
32	4.00	32.“植物学知识没啥用”，老师劝教室里的向日葵不要再学了。
33	4.00	33.群众希望官员的车对外公开，市长只好回家给外公讲荤段子。
34	4.00	34.“小国在联合国安理会有话语权吗？”　“不好意思，我们这里只有中国、大国和超级大国。”
35	4.00	35.为什么视频里的人物总是照着字幕说话，他们难道没有自己的思想吗？
36	4.00	36.孙悟空承蒙观音多次搭救写下一首《菩萨蛮·厉害的》。
37	4.00	37.你高中同学的小孩都会跑了你怎么还在坐轮椅
38	4.00	38.“出门太匆忙，忘记拔钥匙了”王老汉向医生解释为何屁股里有钥匙。
39	3.97	39.指挥部命令我在失重环境里手冲。我缓缓打出一个 ？
40	3.97	40.试菜的大臣对帝王说：“这汤臣一品就感觉不对劲。”
41	3.97	41.小明发现火车出轨后立刻报警，最终车厢内乘客的抚养权被法院判给了小明。
42	3.97	42.王警官家遭窃，门说：“不关我的事。”
